,Canción,Artista,Lanzamiento,Género,Emoción inicial,Conocimiento,Familia,Emoción primaria,Emoción secundaria,Emoción Terciaria,Agrado,Escuela,Academia,Sexo,Edad,Español,Inglés,Francés,Catalán
25,A Horse with No Name,"America, George Martin",1971,Folk Rock,Serenidad,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Agitado,Tenso,Triste,40,Escuela privada,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Avanzado,Nulo,Nulo
26,A Horse with No Name,"America, George Martin",1971,Folk Rock,Alegría,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Melancólico,,,20,Escuela privada,Negocios,Femenino,21-23,Avanzado,Avanzado,Básico,Nulo
27,A Horse with No Name,"America, George Martin",1971,Folk Rock,Serenidad,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Nostálgico,Sentimental,Conmovedor,65,Escuela privada,Ciencias naturales y aplicadas,No binario,21-23,Avanzado,Intermedio,Básico,Nulo
28,A Horse with No Name,"America, George Martin",1971,Folk Rock,Sorpresa,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Triunfante,Animado,Alegría,84,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
29,A Horse with No Name,"America, George Martin",1971,Folk Rock,Aprobación,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Triste,Melancólico,Lacrimoso,100,Escuela privada,No aplica,Masculino,24-26,Intermedio,Intermedio,Básico,Nulo
30,A Horse with No Name,"America, George Martin",1971,Folk Rock,Melancolía,TRUE,Malestar (Problemas; miseria; estado o condición incómoda),Melancólico,Triste,Lacrimoso,94,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Básico,Nulo
31,A Horse with No Name,"America, George Martin",1971,Folk Rock,Confianza,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Trascendente,,,91,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Avanzado,Básico,Básico
32,A Horse with No Name,"America, George Martin",1971,Folk Rock,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Resiliente,Animado,Intenso,76,Escuela privada,Negocios,Masculino,21-23,Avanzado,Avanzado,Básico,Nulo
33,A Horse with No Name,"America, George Martin",1971,Folk Rock,Serenidad,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Nostálgico,Sentimental,Cautivador,100,Escuela privada,Ciencias naturales y aplicadas,No binario,21-23,Avanzado,Intermedio,Nulo,Nulo
34,¿Cómo le hacemos?,Yuri,2017,Pop,Aprobación,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Triunfante,Animado,Enérgico,60,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
35,¿Cómo le hacemos?,Yuri,2017,Pop,Éxtasis,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Sereno,Afectuoso,Calmado,74,N/R,N/R,Femenino,N/R,N/R,N/R,N/R,N/R
36,¿Cómo le hacemos?,Yuri,2017,Pop,Distracción,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Animado,,6,Escuela pública,No aplica,No binario,24-26,Avanzado,Intermedio,Básico,Nulo
37,¿Cómo le hacemos?,Yuri,2017,Pop,Interés,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Animado,Alegría,64,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
38,¿Cómo le hacemos?,Yuri,2017,Pop,Serenidad,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Animado,Alegría,90,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Intermedio,Nulo,Nulo
39,¿Cómo le hacemos?,Yuri,2017,Pop,Tedio,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Agitado,Lacrimoso,Agitado,87,Escuela pública,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Intermedio,Nulo,Nulo
